%time,field.frameId,field.point1x,field.point1y,field.point1z,field.point2x,field.point2y,field.point2z,field.point3x,field.point3y,field.point3z,field.point4x,field.point4y,field.point4z,field.point5x,field.point5y,field.point5z,field.point6x,field.point6y,field.point6z,field.point7x,field.point7y,field.point7z,field.point8x,field.point8y,field.point8z,field.point9x,field.point9y,field.point9z,field.point10x,field.point10y,field.point10z,field.point11x,field.point11y,field.point11z,field.point12x,field.point12y,field.point12z,field.point13x,field.point13y,field.point13z,field.point14x,field.point14y,field.point14z,field.point15x,field.point15y,field.point15z,field.point16x,field.point16y,field.point16z
1695985002302160957,0,-8,60,-36,40,4,-68,76,40,-52,-40,40,-52,-36,0,-68,-16,-8,-24,28,-4,-60,8,24,-48,72,8,-28,20,-60,-52,-32,-24,-56,-24,-52,-16,-100,24,-36,32,144,-16,-56,28,-48,-16,40,-48
1695985002402120499,0,44,120,-68,-56,4,-64,92,84,-28,-8,-52,-32,16,88,-56,4,-40,-52,-20,-48,-48,4,24,-28,-60,12,-72,-28,0,-44,28,32,-36,-52,-28,-36,16,12,-24,56,96,-40,32,-4,-48,36,32,-8
1695985002502158310,0,96,120,-64,56,-44,-56,-8,-16,-64,-52,32,-44,-8,28,-76,72,-52,-56,72,-40,-52,-8,52,-20,-60,52,-16,-20,-4,-52,60,-84,-48,-24,-48,-52,-36,-36,-44,16,112,-32,8,92,-52,72,12,-20
1695985002602159122,0,-40,12,-48,40,-64,-48,-8,44,-28,-56,-12,-8,-44,-16,-40,12,-52,-36,-40,4,-44,40,56,-44,24,-4,-72,0,-20,-52,100,-36,-48,52,-8,-32,-36,16,-4,-48,68,-16,0,-72,-28,-60,-28,-24
1695985002702048077,0,44,120,-100,16,-20,-36,48,-8,-24,-12,-8,-80,-64,4,-4,52,-40,-48,56,-20,-60,24,56,-28,40,40,-24,60,20,-24,116,-8,-8,8,-76,-68,28,8,-32,12,84,-36,12,-40,-48,-36,-32,-20
1695985002802144602,0,20,80,-52,32,-20,-40,-56,36,-52,8,52,-20,-40,60,-48,24,-24,-24,20,-4,-48,68,44,-52,-12,20,-48,12,12,-44,76,100,-60,44,68,-48,-68,32,-48,-48,108,-64,48,76,-24,0,104,-76
1695985002902111080,0,-28,128,-44,-24,-88,-80,8,80,-20,36,108,-36,40,40,-40,56,-16,-40,24,-76,-20,0,40,-32,32,-44,-48,28,-44,-32,52,-56,-60,8,-68,-32,76,20,-28,24,52,-28,-60,36,-16,-68,24,-60
1695985003002118661,0,32,136,-56,52,72,-16,8,-4,-4,32,32,-24,8,4,-52,40,-60,-28,-36,-88,-80,16,-16,-80,16,-20,-60,-48,-52,-24,120,-16,-36,52,-68,-32,-24,-4,-36,24,-32,-52,12,36,-28,-44,28,-32
1695985003102152525,0,40,44,-40,188,-8,-24,72,72,-40,128,28,-44,-44,4,-56,52,-4,-64,44,20,-100,20,8,-52,64,-32,-72,8,28,-76,0,36,-40,-12,4,-36,-12,8,-32,80,88,-28,-36,84,-20,56,-8,-52
1695985003202150859,0,-24,92,-64,40,-4,-44,8,40,-40,-8,12,-32,4,-88,-68,0,28,-36,8,-48,-68,-24,-4,8,88,28,-56,0,12,-40,16,-64,-36,100,44,-44,28,64,-64,-8,96,-56,96,-32,-40,12,-104,-56
1695985003302140898,0,0,60,-64,36,-76,-56,24,-4,-8,-24,56,-28,-8,0,-64,20,-84,-48,-28,12,-68,32,48,-24,36,4,-60,12,24,-56,20,-80,-40,-16,-24,-76,20,72,-24,40,48,-16,36,-36,-60,-76,96,-48
1695985003402122227,0,-68,160,-32,4,-68,-44,20,48,-76,12,16,-48,36,-56,-24,24,-4,-56,0,-32,-76,-28,12,28,-8,56,-76,-44,-24,-84,48,20,-52,52,16,-28,-24,4,-40,-32,100,8,28,60,0,-64,-20,-48
1695985003502105522,0,20,100,-104,112,28,-44,-60,56,-16,-120,-4,-76,0,56,-48,0,-32,-60,72,16,-60,-4,24,-72,-16,8,-80,52,20,-72,52,-24,-40,4,4,-28,-8,28,-68,-16,32,-36,-12,108,-40,-52,-4,-32
1695985003602128682,0,-60,144,-76,4,-48,-44,-40,56,-24,-100,28,-24,-64,16,-44,92,-4,-48,44,4,-92,-8,-20,-44,12,56,-64,-36,-64,-56,12,-40,-60,36,-12,-40,16,56,-28,-4,52,-16,36,72,-44,-64,60,-76
