%time,field.frameId,field.point1x,field.point1y,field.point1z,field.point2x,field.point2y,field.point2z,field.point3x,field.point3y,field.point3z,field.point4x,field.point4y,field.point4z,field.point5x,field.point5y,field.point5z,field.point6x,field.point6y,field.point6z,field.point7x,field.point7y,field.point7z,field.point8x,field.point8y,field.point8z,field.point9x,field.point9y,field.point9z,field.point10x,field.point10y,field.point10z,field.point11x,field.point11y,field.point11z,field.point12x,field.point12y,field.point12z,field.point13x,field.point13y,field.point13z,field.point14x,field.point14y,field.point14z,field.point15x,field.point15y,field.point15z,field.point16x,field.point16y,field.point16z
1695985365893131828,0,4568,-2644,11536,4084,-3832,9044,4996,-2644,9960,5860,-3296,11364,4456,-3184,9624,4704,-2752,8868,4316,-2920,9248,5200,-3112,9904,5244,-3884,8184,5524,-3208,9164,5212,-3052,8796,4436,-4228,9048,6112,-2080,11808,4676,-3244,8972,4748,-3620,8724,4816,-3596,9272
1695985365993268948,0,4492,-2608,11500,4112,-3960,9068,4956,-2640,9976,5996,-3200,11360,4560,-3128,9568,4740,-2772,8876,4324,-2792,9212,5196,-3184,9888,5228,-3924,8256,5612,-3208,9136,5304,-3020,8796,4500,-4228,9064,6020,-2088,11828,4544,-3260,8996,4736,-3724,8708,4932,-3524,9232
1695985366092950036,0,4516,-2644,11472,4000,-3756,9088,5024,-2612,9932,5936,-3288,11352,4568,-3180,9568,4708,-2736,8864,4284,-2852,9204,5108,-3164,9928,5176,-3876,8204,5676,-3168,9168,5240,-3080,8776,4492,-4288,9068,5964,-2096,11784,4672,-3300,8932,4692,-3592,8692,4768,-3536,9288
1695985366192889123,0,4576,-2668,11528,3984,-3864,9048,5076,-2652,9988,5832,-3304,11356,4588,-3192,9600,4740,-2764,8844,4328,-2844,9244,5248,-3160,9896,5196,-3928,8216,5584,-3188,9184,5188,-3048,8764,4512,-4288,9036,6000,-2012,11812,4656,-3324,8952,4748,-3676,8736,4880,-3600,9240
1695985366292897182,0,4572,-2712,11484,3944,-3816,9076,5040,-2676,9952,5900,-3212,11344,4544,-3148,9588,4656,-2764,8892,4288,-2892,9236,5212,-3192,9896,5172,-3832,8224,5664,-3212,9144,5324,-3036,8780,4440,-4164,9056,6048,-2032,11768,4644,-3240,8936,4752,-3620,8696,4844,-3620,9268
1695985366393252182,0,4524,-2592,11484,3960,-3840,9012,5024,-2712,9924,5964,-3272,11348,4568,-3216,9608,4824,-2728,8860,4356,-2868,9260,5140,-3128,9872,5188,-3952,8224,5568,-3192,9176,5296,-3072,8804,4576,-4144,9088,6004,-2088,11784,4696,-3260,8932,4752,-3660,8720,4744,-3596,9232
1695985366492937579,0,4564,-2600,11504,4076,-3880,9044,5076,-2692,9956,5900,-3204,11344,4464,-3236,9576,4776,-2848,8892,4192,-2892,9208,5168,-3160,9944,5232,-3896,8260,5588,-3188,9156,5356,-3044,8804,4432,-4120,9036,5984,-2040,11776,4696,-3304,8944,4696,-3596,8712,4872,-3576,9260
1695985366592867586,0,4540,-2588,11484,4100,-3792,9064,4924,-2712,9984,5864,-3292,11380,4476,-3168,9624,4736,-2772,8880,4292,-2784,9276,5220,-3168,9876,5196,-3876,8208,5524,-3236,9132,5348,-3000,8768,4432,-4188,9008,6048,-2084,11800,4684,-3292,8936,4748,-3596,8724,4796,-3596,9276
1695985366693055458,0,4500,-2672,11532,4036,-3876,9100,5000,-2688,9972,5940,-3204,11368,4512,-3244,9580,4680,-2772,8864,4280,-2896,9256,5248,-3080,9856,5072,-4004,8240,5596,-3248,9132,5280,-2996,8740,4412,-4140,9056,6004,-2072,11788,4660,-3316,8944,4760,-3700,8764,4720,-3596,9252
1695985366793506447,0,4540,-2652,11508,4024,-3912,9088,5040,-2732,9940,5864,-3280,11364,4588,-3264,9612,4776,-2816,8876,4356,-2888,9216,5148,-3164,9908,5176,-3896,8252,5652,-3216,9124,5292,-3060,8776,4496,-4192,9064,6080,-2164,11804,4700,-3280,8936,4660,-3608,8720,4804,-3680,9272
