%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1695954285940806014,0.5,0.0,0.0,0.0,0.0,0.2
1695954286040894429,0.5,0.0,0.0,0.0,0.0,0.2
1695954286140684412,0.5,0.0,0.0,0.0,0.0,0.2
1695954286240710015,0.5,0.0,0.0,0.0,0.0,0.2
1695954286340712003,0.5,0.0,0.0,0.0,0.0,0.2
1695954286440717876,0.5,0.0,0.0,0.0,0.0,0.2
1695954286540997973,0.5,0.0,0.0,0.0,0.0,0.2
1695954286640769124,0.5,0.0,0.0,0.0,0.0,0.2
1695954286741519526,0.5,0.0,0.0,0.0,0.0,0.2
1695954286840704334,0.5,0.0,0.0,0.0,0.0,0.2
1695954286940919883,0.5,0.0,0.0,0.0,0.0,0.2
1695954287040800842,0.5,0.0,0.0,0.0,0.0,0.2
1695954287140786701,0.5,0.0,0.0,0.0,0.0,0.2
1695954287240717486,0.5,0.0,0.0,0.0,0.0,0.2
1695954287340701007,0.5,0.0,0.0,0.0,0.0,0.2
1695954287440712654,0.5,0.0,0.0,0.0,0.0,0.2
1695954287540744636,0.5,0.0,0.0,0.0,0.0,0.2
1695954287640691355,0.5,0.0,0.0,0.0,0.0,0.2
1695954287740742151,0.5,0.0,0.0,0.0,0.0,0.2
1695954287840775686,0.5,0.0,0.0,0.0,0.0,0.2
1695954287940739025,0.5,0.0,0.0,0.0,0.0,0.2
1695954288040766013,0.5,0.0,0.0,0.0,0.0,0.2
1695954288140923756,0.5,0.0,0.0,0.0,0.0,0.2
1695954288240784449,0.5,0.0,0.0,0.0,0.0,0.2
1695954288340918226,0.5,0.0,0.0,0.0,0.0,0.2
1695954288441576394,0.5,0.0,0.0,0.0,0.0,0.2
1695954288540742737,0.5,0.0,0.0,0.0,0.0,0.2
1695954288640654502,0.5,0.0,0.0,0.0,0.0,0.2
1695954288740690795,0.5,0.0,0.0,0.0,0.0,0.2
1695954288840743467,0.5,0.0,0.0,0.0,0.0,0.2
1695954288940998138,0.5,0.0,0.0,0.0,0.0,0.2
1695954289040678523,0.5,0.0,0.0,0.0,0.0,0.2
1695954289140707388,0.5,0.0,0.0,0.0,0.0,0.2
1695954289240670084,0.5,0.0,0.0,0.0,0.0,0.2
1695954289340659514,0.5,0.0,0.0,0.0,0.0,0.2
1695954289440944089,0.5,0.0,0.0,0.0,0.0,0.2
1695954289540678578,0.5,0.0,0.0,0.0,0.0,0.2
1695954289640746446,0.5,0.0,0.0,0.0,0.0,0.2
1695954289740794899,0.5,0.0,0.0,0.0,0.0,0.2
1695954289840766173,0.5,0.0,0.0,0.0,0.0,0.2
1695954289941010058,0.5,0.0,0.0,0.0,0.0,0.2
1695954290040685981,0.5,0.0,0.0,0.0,0.0,0.2
1695954290140750206,0.5,0.0,0.0,0.0,0.0,0.2
1695954290241002367,0.5,0.0,0.0,0.0,0.0,0.2
1695954290340724448,0.5,0.0,0.0,0.0,0.0,0.2
1695954290441027481,0.5,0.0,0.0,0.0,0.0,0.2
1695954290540713871,0.5,0.0,0.0,0.0,0.0,0.2
1695954290640986136,0.5,0.0,0.0,0.0,0.0,0.2
1695954290740669974,0.5,0.0,0.0,0.0,0.0,0.2
1695954290840660251,0.5,0.0,0.0,0.0,0.0,0.2
1695954290940734108,0.5,0.0,0.0,0.0,0.0,0.2
1695954291040750266,0.5,0.0,0.0,0.0,0.0,0.2
1695954291140744078,0.5,0.0,0.0,0.0,0.0,0.2
1695954291240750472,0.5,0.0,0.0,0.0,0.0,0.2
1695954291341021797,0.5,0.0,0.0,0.0,0.0,0.2
1695954291440671186,0.5,0.0,0.0,0.0,0.0,0.2
1695954291540966545,0.5,0.0,0.0,0.0,0.0,0.2
1695954291640718846,0.5,0.0,0.0,0.0,0.0,0.2
1695954291740885944,0.5,0.0,0.0,0.0,0.0,0.2
1695954291840736421,0.5,0.0,0.0,0.0,0.0,0.2
1695954291940744062,0.5,0.0,0.0,0.0,0.0,0.2
1695954292040781874,0.5,0.0,0.0,0.0,0.0,0.2
1695954292140837999,0.5,0.0,0.0,0.0,0.0,0.2
1695954292240923121,0.5,0.0,0.0,0.0,0.0,0.2
1695954292340725937,0.5,0.0,0.0,0.0,0.0,0.2
1695954292440821527,0.5,0.0,0.0,0.0,0.0,0.2
1695954292541019216,0.5,0.0,0.0,0.0,0.0,0.2
1695954292640767530,0.5,0.0,0.0,0.0,0.0,0.2
1695954292740770842,0.5,0.0,0.0,0.0,0.0,0.2
1695954292840882680,0.5,0.0,0.0,0.0,0.0,0.2
1695954292940926522,0.5,0.0,0.0,0.0,0.0,0.2
1695954293040749425,0.5,0.0,0.0,0.0,0.0,0.2
1695954293140906482,0.5,0.0,0.0,0.0,0.0,0.2
1695954293240763338,0.5,0.0,0.0,0.0,0.0,0.2
1695954293340987238,0.5,0.0,0.0,0.0,0.0,0.2
1695954293440737169,0.5,0.0,0.0,0.0,0.0,0.2
1695954293540920739,0.5,0.0,0.0,0.0,0.0,0.2
1695954293640759243,0.5,0.0,0.0,0.0,0.0,0.2
1695954293740998935,0.5,0.0,0.0,0.0,0.0,0.2
1695954293840778955,0.5,0.0,0.0,0.0,0.0,0.2
1695954293940708420,0.5,0.0,0.0,0.0,0.0,0.2
1695954294040989013,0.5,0.0,0.0,0.0,0.0,0.2
1695954294140988211,0.5,0.0,0.0,0.0,0.0,0.2
1695954294240745808,0.5,0.0,0.0,0.0,0.0,0.2
1695954294340739541,0.5,0.0,0.0,0.0,0.0,0.2
1695954294440746867,0.5,0.0,0.0,0.0,0.0,0.2
1695954294540928974,0.5,0.0,0.0,0.0,0.0,0.2
1695954294641131681,0.5,0.0,0.0,0.0,0.0,0.2
1695954294740968184,0.5,0.0,0.0,0.0,0.0,0.2
1695954294840722445,0.5,0.0,0.0,0.0,0.0,0.2
1695954294941158113,0.5,0.0,0.0,0.0,0.0,0.2
1695954295040667416,0.5,0.0,0.0,0.0,0.0,0.2
1695954295140674270,0.5,0.0,0.0,0.0,0.0,0.2
1695954295240766646,0.5,0.0,0.0,0.0,0.0,0.2
1695954295340946138,0.5,0.0,0.0,0.0,0.0,0.2
1695954295440667671,0.5,0.0,0.0,0.0,0.0,0.2
1695954295540920111,0.5,0.0,0.0,0.0,0.0,0.2
1695954295640730301,0.5,0.0,0.0,0.0,0.0,0.2
1695954295740646787,0.5,0.0,0.0,0.0,0.0,0.2
1695954295840960441,0.5,0.0,0.0,0.0,0.0,0.2
1695954295940796507,0.5,0.0,0.0,0.0,0.0,0.2
1695954296040733000,0.5,0.0,0.0,0.0,0.0,0.2
1695954296140976544,0.5,0.0,0.0,0.0,0.0,0.2
1695954296241865860,0.5,0.0,0.0,0.0,0.0,0.2
1695954296340750238,0.5,0.0,0.0,0.0,0.0,0.2
1695954296440775510,0.5,0.0,0.0,0.0,0.0,0.2
1695954296540858975,0.5,0.0,0.0,0.0,0.0,0.2
1695954296640728465,0.5,0.0,0.0,0.0,0.0,0.2
1695954296740943990,0.5,0.0,0.0,0.0,0.0,0.2
1695954296840750981,0.5,0.0,0.0,0.0,0.0,0.2
